question_text,subject,topic,avg_score,correct_percentage,num_students_attempted,num_students_correct,time_taken_minutes,bloom_level,difficulty
Demonstrate the use of Econometrics in solving a standard Economics problem.,Economics,Econometrics,68.25,0.68,1264.0,862.0,5.4,Apply,Moderate
Explain how Electromagnetism functions in modern applications.,Physics,Electromagnetism,78.13,0.78,1886.0,1473.0,2.8,Understand,Easy
Interpret the significance of Networking in Computer Science.,Computer Science,Networking,62.19,0.62,736.0,457.0,7.0,Understand,Moderate
Analyze the relationship between Quantum Mechanics and related phenomena.,Physics,Quantum Mechanics,38.77,0.39,1034.0,400.0,17.9,Analyze,Hard
Design a novel experiment to further test the boundaries of Optimization.,Mathematics,Optimization,57.94,0.58,2214.0,1282.0,9.1,Create,Medium
Describe the mechanism behind Probability.,Mathematics,Probability,97.32,0.97,1683.0,1637.0,4.5,Understand,Easy
Calculate the expected outcome using principles of Machine Learning.,Computer Science,Machine Learning,55.24,0.55,1290.0,712.0,6.7,Apply,Moderate
Summarize the key findings related to Econometrics.,Economics,Econometrics,70.95,0.71,936.0,664.0,8.0,Understand,Moderate
Summarize the key findings related to Macroeconomics.,Economics,Macroeconomics,84.4,0.84,1966.0,1659.0,4.2,Understand,Easy
Summarize the key findings related to Electromagnetism.,Physics,Electromagnetism,79.2,0.79,1423.0,1127.0,3.7,Understand,Easy
Analyze the relationship between Calculus and related phenomena.,Mathematics,Calculus,19.37,0.19,2112.0,409.0,14.2,Analyze,Hard
Assess the validity of the dominant theory in Discrete Math.,Mathematics,Discrete Math,71.94,0.72,2103.0,1512.0,10.0,Evaluate,Medium
Use the standard model of Macroeconomics to predict future states.,Economics,Macroeconomics,66.77,0.67,1172.0,782.0,10.3,Apply,Moderate
Develop an innovative algorithm based on Quantum Mechanics principles.,Physics,Quantum Mechanics,11.82,0.12,895.0,105.0,16.2,Create,Hard
Summarize the key findings related to Networking.,Computer Science,Networking,85.72,0.86,936.0,802.0,4.5,Understand,Easy
Discuss the foundational theories of Genetics.,Biology,Genetics,93.93,0.94,1387.0,1302.0,1.6,Understand,Easy
Critique the methodology used to study Ecology.,Biology,Ecology,72.91,0.73,1807.0,1317.0,6.6,Evaluate,Moderate
Summarize the key findings related to Data Structures.,Computer Science,Data Structures,45.55,0.46,1458.0,664.0,5.4,Understand,Moderate
Explain how Thermodynamics functions in modern applications.,Physics,Thermodynamics,93.84,0.94,1094.0,1026.0,4.5,Understand,Easy
Interpret the significance of Probability in Mathematics.,Mathematics,Probability,50.96,0.51,1060.0,540.0,11.9,Understand,Moderate
Formulate a hypothesis regarding the future trajectory of Optimization.,Mathematics,Optimization,62.69,0.63,1351.0,846.0,11.7,Create,Medium
Argue the ethical implications of recent discoveries in Game Theory.,Economics,Game Theory,38.95,0.39,2219.0,864.0,20.1,Evaluate,Hard
Argue the ethical implications of recent discoveries in Discrete Math.,Mathematics,Discrete Math,22.7,0.23,1289.0,292.0,21.1,Evaluate,Hard
List the main components of Networking.,Computer Science,Networking,53.16,0.53,2450.0,1302.0,10.3,Remember,Moderate
Compare and contrast the primary approaches to Cell Biology.,Biology,Cell Biology,62.89,0.63,1400.0,880.0,10.6,Analyze,Moderate
List the main components of Algorithms.,Computer Science,Algorithms,49.89,0.5,1134.0,565.0,5.6,Remember,Moderate
List the main components of Probability.,Mathematics,Probability,69.89,0.7,1502.0,1049.0,7.7,Remember,Medium
Design a novel experiment to further test the boundaries of Optics.,Physics,Optics,62.99,0.63,2580.0,1625.0,11.1,Create,Medium
Synthesize a new framework combining Discrete Math with external disciplines.,Mathematics,Discrete Math,14.33,0.14,419.0,60.0,12.1,Create,Hard
Demonstrate the use of Quantum Mechanics in solving a standard Physics problem.,Physics,Quantum Mechanics,63.69,0.64,745.0,474.0,6.4,Apply,Medium
Explain how Genetics functions in modern applications.,Biology,Genetics,42.42,0.42,1049.0,444.0,8.6,Understand,Moderate
Examine the underlying metrics of Ecology.,Biology,Ecology,31.55,0.32,1140.0,359.0,18.0,Analyze,Hard
Demonstrate the use of Electromagnetism in solving a standard Physics problem.,Physics,Electromagnetism,86.99,0.87,1265.0,1100.0,4.5,Apply,Easy
State the primary theorem in Cell Biology.,Biology,Cell Biology,67.28,0.67,2178.0,1465.0,6.5,Remember,Moderate
Evaluate the impact of Optics on current technological advancements.,Physics,Optics,23.29,0.23,1533.0,357.0,12.9,Evaluate,Hard
Outline the historical development of Mobile App Development concepts. - Perspective 869,Computer Science,Mobile App Development,23.0,0.21,2328.0,488.0,12.0,Analyze,Moderate
Differentiate between the theoretical and practical aspects of Cell Biology.,Biology,Cell Biology,63.3,0.63,1346.0,851.0,5.8,Analyze,Moderate
List the main components of Probability.,Mathematics,Probability,17.93,0.18,402.0,72.0,18.2,Remember,Hard
Assess the validity of the dominant theory in Macroeconomics.,Economics,Macroeconomics,24.07,0.24,551.0,132.0,22.9,Evaluate,Hard
Assess the validity of the dominant theory in Macroeconomics.,Economics,Macroeconomics,32.66,0.33,1170.0,382.0,19.4,Evaluate,Hard
Apply the concepts of Electromagnetism to a real-world scenario.,Physics,Electromagnetism,16.86,0.17,2459.0,414.0,22.1,Apply,Hard
Discuss the foundational theories of Cell Biology.,Biology,Cell Biology,41.27,0.41,1660.0,685.0,9.2,Understand,Moderate
Identify the key characteristics of Genetics.,Biology,Genetics,72.95,0.73,1632.0,1190.0,5.7,Remember,Medium
What are the most common misconceptions about Entropy?,Physics,Entropy,89.59,0.85,1340.0,1139.0,13.0,Analyze,Hard
Compare and contrast the primary approaches to Cell Biology.,Biology,Cell Biology,59.14,0.59,1813.0,1072.0,6.1,Analyze,Medium
Formulate a hypothesis regarding the future trajectory of Thermodynamics.,Physics,Thermodynamics,36.53,0.37,1153.0,421.0,13.0,Create,Hard
Critique the methodology used to study Electromagnetism.,Physics,Electromagnetism,74.55,0.75,1665.0,1241.0,10.8,Evaluate,Moderate
Analyze the relationship between Evolution and related phenomena.,Biology,Evolution,83.15,0.83,2128.0,1769.0,1.6,Analyze,Easy
Mention the main components of Money and Credit.,Economics,Money and Credit,80.0,0.8,429.0,343.0,2.0,Remember,Easy
Apply the concepts of Public Finance to a real-world scenario.,Economics,Public Finance,58.07,0.58,1583.0,919.0,7.3,Apply,Medium
Describe the mechanism behind Game Theory.,Economics,Game Theory,51.9,0.52,2022.0,1049.0,7.1,Understand,Moderate
Justify the use of Optimization over alternative methods.,Mathematics,Optimization,25.1,0.25,1461.0,366.0,21.3,Evaluate,Hard
List the main components of Data Structures.,Computer Science,Data Structures,83.15,0.83,1203.0,1000.0,2.7,Remember,Easy
Deconstruct the arguments surrounding Genetics in contemporary literature.,Biology,Genetics,68.09,0.68,2527.0,1720.0,6.4,Analyze,Moderate
Summarize the key findings related to Linear Algebra.,Mathematics,Linear Algebra,61.85,0.62,2335.0,1444.0,7.1,Understand,Medium
Critique the methodology used to study Genetics.,Biology,Genetics,32.02,0.32,1563.0,500.0,17.1,Evaluate,Hard
Justify the use of Data Structures over alternative methods.,Computer Science,Data Structures,13.12,0.13,2443.0,320.0,22.1,Evaluate,Hard
State the primary theorem in Thermodynamics.,Physics,Thermodynamics,78.33,0.78,1258.0,985.0,2.8,Remember,Easy
Discuss the challenges faced during the implementation of Coordinate Geometry in a developing country.,Mathematics,Coordinate Geometry,17.0,0.17,301.0,51.0,11.0,Evaluate,Hard
Summarize the key findings related to Discrete Math.,Mathematics,Discrete Math,76.67,0.77,1298.0,995.0,1.1,Understand,Easy
Discuss the foundational theories of Ecology.,Biology,Ecology,70.34,0.7,1862.0,1309.0,11.9,Understand,Moderate
Interpret the significance of Ecology in Biology.,Biology,Ecology,45.3,0.45,961.0,435.0,6.1,Understand,Moderate
Critique the methodology used to study Networking.,Computer Science,Networking,29.96,0.3,1573.0,471.0,17.0,Evaluate,Hard
Evaluate the impact of Linear Algebra on current technological advancements.,Mathematics,Linear Algebra,37.3,0.37,1526.0,569.0,23.4,Evaluate,Hard
Interpret the significance of Game Theory in Economics.,Economics,Game Theory,96.42,0.96,1899.0,1830.0,1.5,Understand,Easy
Use the standard model of Quantum Mechanics to predict future states.,Physics,Quantum Mechanics,66.68,0.67,239.0,159.0,11.8,Apply,Medium
Explain how Cell Biology functions in modern applications.,Biology,Cell Biology,94.87,0.95,1592.0,1510.0,2.9,Understand,Easy
Evaluate the impact of Machine Learning on current technological advancements.,Computer Science,Machine Learning,33.11,0.33,2072.0,685.0,20.8,Evaluate,Hard
Examine the underlying metrics of Discrete Math.,Mathematics,Discrete Math,31.3,0.31,245.0,76.0,17.2,Analyze,Hard
Differentiate between the theoretical and practical aspects of Data Structures.,Computer Science,Data Structures,63.54,0.64,1306.0,829.0,5.5,Analyze,Medium
Argue the ethical implications of recent discoveries in Thermodynamics.,Physics,Thermodynamics,44.13,0.44,1704.0,752.0,8.9,Evaluate,Moderate
Summarize the key findings related to Classical Mechanics.,Physics,Classical Mechanics,82.79,0.83,1598.0,1322.0,2.1,Understand,Easy
Use the standard model of Ecology to predict future states.,Biology,Ecology,42.11,0.42,2531.0,1065.0,8.8,Apply,Medium
Critique the methodology used to study Algorithms.,Computer Science,Algorithms,43.72,0.44,1935.0,845.0,10.6,Evaluate,Medium
Define the core principles of Linear Algebra.,Mathematics,Linear Algebra,63.52,0.64,1420.0,901.0,11.3,Remember,Moderate
Assess the validity of the dominant theory in Optics.,Physics,Optics,62.06,0.62,1212.0,752.0,10.7,Evaluate,Medium
Evaluate the impact of Microeconomics on current technological advancements.,Economics,Microeconomics,27.93,0.28,1387.0,387.0,24.1,Evaluate,Hard
Synthesize a new framework combining Algorithms with external disciplines.,Computer Science,Algorithms,37.09,0.37,1725.0,639.0,14.0,Create,Hard
Justify the use of Public Finance over alternative methods.,Economics,Public Finance,79.48,0.79,1667.0,1324.0,2.0,Evaluate,Easy
Demonstrate the use of Electromagnetism in solving a standard Physics problem.,Physics,Electromagnetism,67.18,0.67,1120.0,752.0,11.1,Apply,Medium
Justify the use of Data Structures over alternative methods.,Computer Science,Data Structures,18.84,0.19,2308.0,434.0,20.5,Evaluate,Hard
Formulate a hypothesis regarding the future trajectory of Operating Systems.,Computer Science,Operating Systems,13.13,0.13,1926.0,252.0,24.0,Create,Hard
Apply the concepts of Linear Algebra to a real-world scenario.,Mathematics,Linear Algebra,61.64,0.62,744.0,458.0,6.2,Apply,Medium
Synthesize a new framework combining Econometrics with external disciplines.,Economics,Econometrics,13.78,0.14,1497.0,206.0,23.0,Create,Hard
Summarize the key findings related to Networking.,Computer Science,Networking,42.05,0.42,1177.0,494.0,11.9,Understand,Moderate
Evaluate the impact of Data Structures on current technological advancements.,Computer Science,Data Structures,50.55,0.51,1915.0,968.0,9.4,Evaluate,Moderate
Define the core principles of Game Theory.,Economics,Game Theory,62.16,0.62,2534.0,1575.0,6.2,Remember,Medium
State the primary theorem in Public Finance.,Economics,Public Finance,17.11,0.17,1334.0,228.0,12.0,Remember,Hard
Deconstruct the arguments surrounding Thermodynamics in contemporary literature.,Physics,Thermodynamics,32.69,0.33,2270.0,742.0,21.2,Analyze,Hard
Synthesize a new framework combining Networking with external disciplines.,Computer Science,Networking,38.06,0.38,2337.0,889.0,20.1,Create,Hard
Evaluate the impact of Classical Mechanics on current technological advancements.,Physics,Classical Mechanics,10.75,0.11,1356.0,145.0,15.4,Evaluate,Hard
Develop an innovative algorithm based on Physiology principles.,Biology,Physiology,37.54,0.38,1227.0,460.0,23.4,Create,Hard
Justify the use of Microeconomics over alternative methods.,Economics,Microeconomics,17.48,0.17,1496.0,261.0,18.0,Evaluate,Hard
Recall the definition of Operating Systems in the context of Computer Science.,Computer Science,Operating Systems,87.6,0.88,2257.0,1977.0,4.4,Remember,Easy
Apply the concepts of Machine Learning to a real-world scenario.,Computer Science,Machine Learning,69.55,0.7,1892.0,1315.0,8.4,Apply,Medium
Analyze the relationship between Public Finance and related phenomena.,Economics,Public Finance,43.11,0.43,2283.0,984.0,12.0,Analyze,Moderate
Summarize the key experimental findings related to Transpiration.,Biology,Transpiration,22.81,0.18,2298.0,413.0,19.0,Create,Moderate
Discuss the foundational theories of Optimization.,Mathematics,Optimization,64.12,0.64,2748.0,1761.0,11.4,Understand,Medium
Discuss the foundational theories of Thermodynamics.,Physics,Thermodynamics,74.83,0.75,2078.0,1555.0,10.1,Understand,Medium
Summarize the key findings related to Algorithms.,Computer Science,Algorithms,55.75,0.56,2019.0,1125.0,9.9,Understand,Moderate
Define the core principles of Evolution.,Biology,Evolution,91.77,0.92,1815.0,1665.0,2.2,Remember,Easy
Calculate the expected outcome using principles of Thermodynamics.,Physics,Thermodynamics,38.16,0.38,1851.0,706.0,24.1,Apply,Hard
Deconstruct the arguments surrounding Discrete Math in contemporary literature.,Mathematics,Discrete Math,66.68,0.67,2271.0,1514.0,11.4,Analyze,Medium
Define the core principles of Probability.,Mathematics,Probability,70.77,0.71,1568.0,1109.0,11.4,Remember,Medium
Assess the validity of the dominant theory in Data Structures.,Computer Science,Data Structures,88.23,0.88,1911.0,1686.0,2.2,Evaluate,Easy
Assess the validity of the dominant theory in Operating Systems.,Computer Science,Operating Systems,33.45,0.33,1825.0,610.0,18.7,Evaluate,Hard
Develop an innovative algorithm based on Game Theory principles.,Economics,Game Theory,27.92,0.28,2009.0,560.0,16.9,Create,Hard
Synthesize a new framework combining Macroeconomics with external disciplines.,Economics,Macroeconomics,34.66,0.35,2487.0,862.0,18.5,Create,Hard
Outline the historical development of GDP concepts.,Economics,GDP,53.5,0.54,1097.0,592.0,8.0,Evaluate,Moderate
Interpret the significance of Microeconomics in Economics.,Economics,Microeconomics,70.59,0.71,609.0,429.0,8.6,Understand,Moderate
Argue the ethical implications of recent discoveries in Genetics.,Biology,Genetics,22.22,0.22,2157.0,479.0,24.9,Evaluate,Hard
Recall the definition of Genetics in the context of Biology.,Biology,Genetics,91.78,0.92,1490.0,1367.0,2.3,Remember,Easy
Justify the use of Electromagnetism over alternative methods.,Physics,Electromagnetism,24.16,0.24,903.0,218.0,15.9,Evaluate,Hard
State the primary theorem in Optimization.,Mathematics,Optimization,85.9,0.86,2025.0,1739.0,4.4,Remember,Easy
Apply the concepts of Evolution to a real-world scenario.,Biology,Evolution,19.62,0.2,989.0,194.0,12.0,Apply,Hard
What role does Victorian Era play in the advancement of History technology? - Perspective 822,History,Victorian Era,65.79,0.63,1421.0,895.0,4.0,Create,Moderate
Synthesize a new framework combining Discrete Math with external disciplines.,Mathematics,Discrete Math,90.33,0.9,1630.0,1472.0,1.2,Create,Easy
Compare and contrast the primary approaches to Algorithms.,Computer Science,Algorithms,51.75,0.52,1612.0,834.0,6.2,Analyze,Moderate
Use the standard model of Discrete Math to predict future states.,Mathematics,Discrete Math,33.23,0.33,1017.0,337.0,19.8,Apply,Hard
Compare and contrast the primary approaches to Macroeconomics.,Economics,Macroeconomics,40.64,0.41,442.0,179.0,6.4,Analyze,Moderate
Demonstrate the use of Evolution in solving a standard Biology problem.,Biology,Evolution,66.16,0.66,1309.0,865.0,8.4,Apply,Moderate
How does Life Processes affect the overall outcome of the process? Explain.,Biology,Life Processes,64.7,0.65,410.0,265.0,6.0,Analyze,Medium
Summarize the key findings related to Genetics.,Biology,Genetics,78.16,0.78,1162.0,908.0,2.5,Understand,Easy
Compare and contrast the primary approaches to Macroeconomics.,Economics,Macroeconomics,61.35,0.61,1414.0,867.0,6.1,Analyze,Medium
Define the core principles of Electromagnetism.,Physics,Electromagnetism,34.66,0.35,1509.0,523.0,15.9,Remember,Hard
Explain how Evolution functions in modern applications.,Biology,Evolution,84.81,0.85,1076.0,912.0,1.9,Understand,Easy
Critique the methodology used to study Algorithms.,Computer Science,Algorithms,25.36,0.25,1236.0,313.0,13.6,Evaluate,Hard
Differentiate between the theoretical and practical aspects of Microeconomics.,Economics,Microeconomics,69.17,0.69,1593.0,1101.0,7.9,Analyze,Medium
Deconstruct the arguments surrounding Linear Algebra in contemporary literature.,Mathematics,Linear Algebra,74.59,0.75,1047.0,780.0,11.4,Analyze,Medium
State the primary theorem in Ecology.,Biology,Ecology,51.44,0.51,1908.0,981.0,11.6,Remember,Medium
Explain how Quantum Mechanics functions in modern applications.,Physics,Quantum Mechanics,43.63,0.44,1559.0,680.0,6.1,Understand,Medium
Propose a solution to a common challenge in Globalization Impact.,Social Science,Globalization Impact,86.16,0.82,956.0,783.0,16.0,Evaluate,Hard
Critique the methodology used to study Classical Mechanics.,Physics,Classical Mechanics,59.53,0.6,1411.0,839.0,5.4,Evaluate,Moderate
Design a novel experiment to further test the boundaries of Public Finance.,Economics,Public Finance,24.4,0.24,2128.0,519.0,13.2,Create,Hard
Explain how Evolution functions in modern applications.,Biology,Evolution,51.15,0.51,2048.0,1047.0,6.7,Understand,Moderate
Argue the ethical implications of recent discoveries in Cell Biology.,Biology,Cell Biology,14.8,0.15,1205.0,178.0,19.6,Evaluate,Hard
Justify the use of Physiology over alternative methods.,Biology,Physiology,13.06,0.13,1080.0,141.0,13.1,Evaluate,Hard
Critique the methodology used to study Machine Learning.,Computer Science,Machine Learning,22.08,0.22,2295.0,506.0,14.3,Evaluate,Hard
Examine the underlying metrics of Linear Algebra.,Mathematics,Linear Algebra,92.17,0.92,1649.0,1519.0,1.6,Analyze,Easy
Execute a procedure based on Quantum Mechanics guidelines.,Physics,Quantum Mechanics,43.67,0.44,1030.0,449.0,6.1,Apply,Medium
Why is Chemical Reactions and Equations considered essential for the functioning of the system?,Chemistry,Chemical Reactions and Equations,62.8,0.63,252.0,158.0,7.0,Analyze,Medium
Compare and contrast the primary approaches to Operating Systems.,Computer Science,Operating Systems,81.79,0.82,1225.0,1001.0,1.2,Analyze,Easy
Describe the mechanism behind Public Finance.,Economics,Public Finance,54.7,0.55,1576.0,862.0,5.5,Understand,Moderate
Argue the ethical implications of recent discoveries in Quantum Mechanics.,Physics,Quantum Mechanics,82.13,0.82,1096.0,900.0,3.8,Evaluate,Easy
Interpret the significance of Discrete Math in Mathematics.,Mathematics,Discrete Math,61.76,0.62,854.0,527.0,6.7,Understand,Moderate
Summarize the key findings related to Ecology.,Biology,Ecology,91.01,0.91,1593.0,1449.0,3.0,Understand,Easy
Formulate a hypothesis regarding the future trajectory of Electromagnetism.,Physics,Electromagnetism,20.86,0.21,1693.0,353.0,13.3,Create,Hard
Justify the use of Game Theory over alternative methods.,Economics,Game Theory,18.33,0.18,1518.0,278.0,15.4,Evaluate,Hard
Analyze the relationship between Linear Algebra and related phenomena.,Mathematics,Linear Algebra,54.7,0.55,755.0,412.0,6.9,Analyze,Medium
Design a novel experiment to further test the boundaries of Data Structures.,Computer Science,Data Structures,31.59,0.32,1751.0,553.0,22.2,Create,Hard
Demonstrate the use of Physiology in solving a standard Biology problem.,Biology,Physiology,58.83,0.59,1918.0,1128.0,7.7,Apply,Moderate
Justify the use of Evolution over alternative methods.,Biology,Evolution,95.38,0.95,1241.0,1183.0,2.6,Evaluate,Easy
Calculate the expected outcome using principles of Machine Learning.,Computer Science,Machine Learning,35.63,0.36,605.0,215.0,17.6,Apply,Hard
Deconstruct the arguments surrounding Econometrics in contemporary literature.,Economics,Econometrics,81.25,0.81,1647.0,1338.0,4.2,Analyze,Easy
Analyze the relationship between Optics and related phenomena.,Physics,Optics,74.5,0.75,869.0,647.0,5.8,Analyze,Medium
Calculate the expected outcome using principles of Machine Learning.,Computer Science,Machine Learning,57.34,0.57,1566.0,898.0,6.4,Apply,Moderate
Argue the ethical implications of recent discoveries in Classical Mechanics.,Physics,Classical Mechanics,21.26,0.21,1142.0,242.0,23.2,Evaluate,Hard
Propose a new architecture integrating Networking.,Computer Science,Networking,39.26,0.39,1869.0,733.0,20.9,Create,Hard
Critique the methodology used to study Game Theory.,Economics,Game Theory,31.15,0.31,1426.0,444.0,16.9,Evaluate,Hard
Assess the validity of the dominant theory in Probability.,Mathematics,Probability,34.62,0.35,1524.0,527.0,22.8,Evaluate,Hard
Assess the validity of the dominant theory in Cell Biology.,Biology,Cell Biology,14.69,0.15,1008.0,148.0,12.4,Evaluate,Hard
Solve a comprehensive problem involving the core principles of Exchange Rates.,Economics,Exchange Rates,33.92,0.37,2982.0,1103.0,13.0,Remember,Hard
Identify the key characteristics of Algorithms.,Computer Science,Algorithms,43.46,0.43,1369.0,594.0,6.4,Remember,Moderate
Deconstruct the arguments surrounding Public Finance in contemporary literature.,Economics,Public Finance,66.89,0.67,890.0,595.0,9.6,Analyze,Moderate
Evaluate the impact of Discrete Math on current technological advancements.,Mathematics,Discrete Math,94.47,0.94,1341.0,1266.0,2.2,Evaluate,Easy
Explain how Ecology functions in modern applications.,Biology,Ecology,89.28,0.89,1265.0,1129.0,2.4,Understand,Easy
Define the core principles of Algorithms.,Computer Science,Algorithms,27.37,0.27,2670.0,730.0,14.9,Remember,Hard
Apply the concepts of Linear Algebra to a real-world scenario.,Mathematics,Linear Algebra,61.11,0.61,1051.0,642.0,9.9,Apply,Moderate
Design a novel experiment to further test the boundaries of Microeconomics.,Economics,Microeconomics,14.11,0.14,1436.0,202.0,15.4,Create,Hard
Deconstruct the arguments surrounding Physiology in contemporary literature.,Biology,Physiology,24.89,0.25,1041.0,259.0,20.6,Analyze,Hard
Describe the mechanism behind Thermodynamics.,Physics,Thermodynamics,42.01,0.42,2208.0,927.0,10.4,Understand,Moderate
"Differentiate between Trigonometric Identities and its alternative, giving three points of distinction.",Mathematics,Trigonometric Identities,49.8,0.5,476.0,237.0,6.0,Analyze,Medium
Deconstruct the arguments surrounding Optimization in contemporary literature.,Mathematics,Optimization,62.05,0.62,1373.0,851.0,7.7,Analyze,Medium
Use the standard model of Microeconomics to predict future states.,Economics,Microeconomics,82.71,0.83,979.0,809.0,4.7,Apply,Easy
Outline the historical development of Computer Networks concepts.,Computer Science,Computer Networks,31.19,0.34,1897.0,644.0,18.0,Remember,Hard
Examine the underlying metrics of Electromagnetism.,Physics,Electromagnetism,41.23,0.41,1807.0,745.0,7.9,Analyze,Medium
Apply the concepts of Microeconomics to a real-world scenario.,Economics,Microeconomics,39.06,0.39,1151.0,449.0,20.6,Apply,Hard
Discuss the foundational theories of Linear Algebra.,Mathematics,Linear Algebra,41.72,0.42,1164.0,485.0,5.7,Understand,Moderate
Identify the key characteristics of Ecology.,Biology,Ecology,97.16,0.97,2002.0,1945.0,1.5,Remember,Easy
Define the core principles of Calculus.,Mathematics,Calculus,95.01,0.95,1643.0,1561.0,4.6,Remember,Easy
Calculate the expected outcome using principles of Econometrics.,Economics,Econometrics,26.29,0.26,1273.0,334.0,22.7,Apply,Hard
Assess the validity of the dominant theory in Optimization.,Mathematics,Optimization,17.9,0.18,1773.0,317.0,12.6,Evaluate,Hard
Explain how Classical Mechanics functions in modern applications.,Physics,Classical Mechanics,50.13,0.5,1973.0,989.0,10.1,Understand,Moderate
Assess the validity of the dominant theory in Operating Systems.,Computer Science,Operating Systems,78.47,0.78,2303.0,1807.0,2.5,Evaluate,Easy
Calculate the expected outcome using principles of Quantum Mechanics.,Physics,Quantum Mechanics,62.28,0.62,2503.0,1558.0,9.6,Apply,Moderate
List the main components of Optimization.,Mathematics,Optimization,93.52,0.94,1957.0,1830.0,4.2,Remember,Easy
Examine the underlying metrics of Microeconomics.,Economics,Microeconomics,41.11,0.41,2118.0,870.0,10.8,Analyze,Medium
Calculate the expected outcome using principles of Discrete Math.,Mathematics,Discrete Math,56.17,0.56,1779.0,999.0,9.2,Apply,Medium
Define the core principles of Physiology.,Biology,Physiology,92.08,0.92,1347.0,1240.0,2.5,Remember,Easy
State the primary theorem in Evolution.,Biology,Evolution,70.37,0.7,1314.0,924.0,8.4,Remember,Moderate
Design a novel experiment to further test the boundaries of Quantum Mechanics.,Physics,Quantum Mechanics,50.33,0.5,1301.0,654.0,6.5,Create,Medium
Evaluate the impact of Electromagnetism on current technological advancements.,Physics,Electromagnetism,18.91,0.19,1825.0,345.0,12.0,Evaluate,Hard
Differentiate between the theoretical and practical aspects of Operating Systems.,Computer Science,Operating Systems,12.27,0.12,1058.0,129.0,18.4,Analyze,Hard
Evaluate the impact of Physiology on current technological advancements.,Biology,Physiology,34.49,0.34,1428.0,492.0,12.6,Evaluate,Hard
Compare and contrast the primary approaches to Data Structures.,Computer Science,Data Structures,27.95,0.28,1730.0,483.0,12.7,Analyze,Hard
Explain how Ecology functions in modern applications.,Biology,Ecology,45.97,0.46,1434.0,659.0,6.5,Understand,Moderate
Differentiate between the theoretical and practical aspects of Algorithms.,Computer Science,Algorithms,65.44,0.65,1064.0,696.0,8.1,Analyze,Medium
Assess the validity of the dominant theory in Thermodynamics.,Physics,Thermodynamics,70.67,0.71,2529.0,1787.0,10.9,Evaluate,Medium
Compare and contrast the primary approaches to Econometrics.,Economics,Econometrics,44.99,0.45,2048.0,921.0,5.4,Analyze,Moderate
Outline the historical development of Viruses concepts.,Biology,Viruses,20.32,0.21,1811.0,380.0,14.0,Create,Hard
Assess the validity of the dominant theory in Cell Biology.,Biology,Cell Biology,73.25,0.73,1863.0,1364.0,10.5,Evaluate,Medium
Interpret the significance of Ecology in Biology.,Biology,Ecology,61.5,0.61,1773.0,1090.0,9.2,Understand,Moderate
Analyze the relationship between Algorithms and related phenomena.,Computer Science,Algorithms,74.2,0.74,433.0,321.0,7.3,Analyze,Medium
Assess the validity of the dominant theory in Game Theory.,Economics,Game Theory,59.82,0.6,1820.0,1088.0,7.7,Evaluate,Moderate
Summarize the key findings related to Macroeconomics.,Economics,Macroeconomics,50.92,0.51,1872.0,953.0,10.5,Understand,Medium
Calculate the expected outcome using principles of Thermodynamics.,Physics,Thermodynamics,73.84,0.74,1224.0,903.0,6.7,Apply,Moderate
Execute a procedure based on Linear Algebra guidelines.,Mathematics,Linear Algebra,71.1,0.71,1160.0,824.0,5.2,Apply,Medium
Develop an innovative algorithm based on Linear Algebra principles.,Mathematics,Linear Algebra,37.63,0.38,1479.0,556.0,18.8,Create,Hard
How does Pronouns affect the global economy or environment?,English,Pronouns,42.95,0.39,1241.0,483.0,19.0,Analyze,Hard
Justify the use of Electromagnetism over alternative methods.,Physics,Electromagnetism,42.17,0.42,2208.0,931.0,10.3,Evaluate,Medium
Deconstruct the arguments surrounding Algorithms in contemporary literature.,Computer Science,Algorithms,88.13,0.88,1564.0,1378.0,3.6,Analyze,Easy
Demonstrate the use of Classical Mechanics in solving a standard Physics problem.,Physics,Classical Mechanics,64.0,0.64,2137.0,1367.0,11.2,Apply,Moderate
Discuss the foundational theories of Physiology.,Biology,Physiology,85.91,0.86,1338.0,1149.0,3.3,Understand,Easy
Evaluate the effectiveness of Thermodynamics.,Physics,Thermodynamics,57.8,0.58,80.0,46.0,8.0,Analyze,Hard
Execute a procedure based on Discrete Math guidelines.,Mathematics,Discrete Math,73.28,0.73,917.0,672.0,8.4,Apply,Medium
Formulate a hypothesis regarding the future trajectory of Cell Biology.,Biology,Cell Biology,28.58,0.29,1354.0,386.0,22.1,Create,Hard
Critique the methodology used to study Cell Biology.,Biology,Cell Biology,37.06,0.37,2180.0,807.0,21.8,Evaluate,Hard
List the main components of Macroeconomics.,Economics,Macroeconomics,41.96,0.42,1542.0,646.0,8.4,Remember,Moderate
Discuss the foundational theories of Machine Learning.,Computer Science,Machine Learning,65.24,0.65,665.0,433.0,9.4,Understand,Moderate
Explain how Optics functions in modern applications.,Physics,Optics,44.13,0.44,450.0,198.0,7.4,Understand,Moderate
Critique the methodology used to study Machine Learning.,Computer Science,Machine Learning,60.23,0.6,2635.0,1586.0,9.9,Evaluate,Moderate
Differentiate between the theoretical and practical aspects of Algorithms.,Computer Science,Algorithms,79.22,0.79,2521.0,1997.0,4.6,Analyze,Easy
Differentiate between the theoretical and practical aspects of Public Finance.,Economics,Public Finance,52.46,0.52,1991.0,1044.0,7.7,Analyze,Medium
